id,unit,evidence,truth,measured,abs_error,rel_error,truth_exact_by_construction,pass,note,reference_range,inside_reference_range
interpupillary_distance,mm,validated_2d,63.36,63.36,0.0,0.0,True,True,"pupils placed at +/- IPD/2, equal y and z",52.0 to 78.0,True
intercanthal_width,mm,validated_2d,32.0,32.0,0.0,0.0,True,True,equal y and z,,
biocular_width,mm,validated_2d,90.00144981797378,90.00144981797378,0.0,0.0,False,True,outer canthi differ in height by the tilt asymmetry,,
nose_breadth,mm,validated_2d,34.0,34.0,0.0,0.0,True,True,equal y and z,,
mouth_width,mm,validated_2d,52.00615348206402,52.00615348206402,0.0,0.0,True,True,hypotenuse of the 52 mm span and the 0.8 mm corner drop,,
philtrum_width,mm,conventional,11.0,11.0,0.0,0.0,True,True,equal y and z,,
bizygomatic_width,mm,requires_3d,141.0,141.0,0.0,0.0,True,True,equal y and z,120.0 to 150.0,True
bigonial_width,mm,requires_3d,117.0,117.0,0.0,0.0,True,True,equal y and z,,
nose_height,mm,validated_2d,53.9351462406472,53.9351462406472,0.0,0.0,False,True,,,
face_height_sellion_menton,mm,validated_2d,120.01666550941998,120.01666550941998,0.0,0.0,False,True,,,
philtrum_length,mm,conventional,16.15549442140351,16.15549442140351,0.0,0.0,False,True,,,
upper_face_height,mm,conventional,86.37129152675674,86.37129152675674,0.0,0.0,False,True,,,
middle_third_height,mm,conventional,71.02816342831905,71.02816342831905,0.0,0.0,False,True,,,
lower_third_height,mm,conventional,68.06614430096654,68.06614430096654,0.0,0.0,False,True,,,
palpebral_fissure_width_l,mm,conventional,30.780468448555318,30.78046844855532,3.552713678800501e-15,1.154210399603989e-16,False,True,,,
palpebral_fissure_height_l,mm,conventional,10.6,10.600000000000001,1.7763568394002505e-15,1.6758083390568402e-16,True,True,equal x and z,,
canthal_tilt_l,deg,pose_critical,5.0,4.999999999999999,-8.881784197001252e-16,-1.7763568394002506e-16,True,True,outer canthus placed by dy = dx tan(theta),0.0 to 8.0,True
eye_aspect_ratio_l,ratio,pose_invariant_ratio,0.3443742260685935,0.3443742260685935,0.0,0.0,False,True,,,
palpebral_fissure_width_r,mm,conventional,30.82678126447405,30.82678126447405,0.0,0.0,False,True,,,
palpebral_fissure_height_r,mm,conventional,11.0,11.0,0.0,0.0,True,True,equal x and z,,
canthal_tilt_r,deg,pose_critical,6.0,6.000000000000001,8.881784197001252e-16,1.4802973661668753e-16,True,True,outer canthus placed by dy = dx tan(theta),0.0 to 8.0,True
eye_aspect_ratio_r,ratio,pose_invariant_ratio,0.35683258351324587,0.35683258351324587,0.0,0.0,False,True,,,
intercanthal_biocular_ratio,ratio,pose_invariant_ratio,0.3555498279718759,0.3555498279718759,0.0,0.0,False,True,,,
nose_mouth_width_ratio,ratio,pose_invariant_ratio,0.6537687893361693,0.6537687893361693,0.0,0.0,False,True,,,
eye_spacing_ratio,ratio,pose_invariant_ratio,0.9411764705882353,0.9411764705882353,0.0,0.0,True,True,32 / 34,,
facial_thirds_ratio,ratio,conventional,1.043516775597798,1.043516775597798,0.0,0.0,False,True,,,
lip_vermilion_ratio,ratio,conventional,0.5,0.5,0.0,0.0,False,True,,0.4 to 0.7,True
facial_width_height_ratio,ratio,requires_3d,1.6324868773823995,1.6324868773823995,0.0,0.0,False,True,,,
jaw_cheekbone_ratio,ratio,requires_3d,0.8297872340425532,0.8297872340425532,0.0,0.0,True,True,117 / 141,,
ocular_height_asymmetry,deg,pose_invariant_ratio,0.3252147242548326,0.3252147242548326,0.0,0.0,False,True,inclination of the outer-canthal line against the interpupillary axis: atan(29*(tan 6 - tan 5) / 90),,
mouth_corner_asymmetry,deg,pose_invariant_ratio,0.8814039965821379,0.8814039965821346,-3.219646771412954e-15,-3.652861552588746e-15,True,True,"atan(0.8 / 52), the 0.8 mm corner drop over the 52 mm lateral run",,
canthal_tilt_asymmetry,deg,pose_invariant_ratio,1.0,1.0000000000000018,1.7763568394002505e-15,1.7763568394002505e-15,True,True,6.0 - 5.0,,
nasofrontal_angle,deg,conventional,121.53479190518829,121.53479190518829,0.0,0.0,False,True,,115.0 to 135.0,True
nasolabial_angle,deg,conventional,100.66978280449668,100.66978280449668,0.0,0.0,False,True,,90.0 to 120.0,True
facial_convexity_angle,deg,conventional,173.19203215938398,173.192032159384,2.842170943040401e-14,1.641051789510055e-16,False,True,,165.0 to 175.0,True
mentolabial_angle,deg,conventional,113.38522105721376,113.38522105721376,0.0,0.0,False,True,,110.0 to 130.0,True
mentocervical_angle,deg,conventional,87.36707506187837,87.36707506187837,0.0,0.0,False,True,,80.0 to 95.0,True
submental_cervical_angle,deg,conventional,110.81558506742743,110.81558506742743,0.0,0.0,False,True,,90.0 to 120.0,True
