id,raw,mc_median,shift,rel_shift,ci_low,ci_high,sd,n_valid,reportability,unavailable
interpupillary_distance,63.36,63.36000362564617,3.6256461726225098e-06,5.722295095679466e-08,63.359727653296616,63.36028764125815,0.00014027718647618504,4096,report,False
intercanthal_width,32.0,32.00000184155664,1.8415566387375293e-06,5.754864496054779e-08,31.99972250871685,32.000271208763735,0.0001394489154705953,4096,report,False
biocular_width,90.00144981797378,90.0014466276391,-3.190334680880369e-06,-3.54475920924914e-08,90.00117567092485,90.00171905311537,0.00014004920054582571,4096,report,False
nose_breadth,34.0,33.99999972044859,-2.79551407800227e-07,-8.222100229418442e-09,33.99972937777814,34.000271179857116,0.00013774914597899473,4096,report,False
mouth_width,52.00615348206402,52.006151266222275,-2.2158417465334423e-06,-4.2607299293873864e-08,52.00587368148967,52.00642134193444,0.00013892432829294392,4096,report,False
philtrum_width,11.0,10.99999969598137,-3.0401863071460866e-07,-2.7638057337691698e-08,10.99973217870662,11.000283424842005,0.00013986772889883304,4096,caveat,False
bizygomatic_width,141.0,140.99999818266076,-1.8173392390963272e-06,-1.2888930773732817e-08,140.99970947281918,141.0002606869465,0.00014191630195744366,4096,withhold,False
bigonial_width,117.0,117.00000400995401,4.0099540115079435e-06,3.4273111209469604e-08,116.99972274309745,117.00027937013064,0.00014118052149671354,4096,withhold,False
nose_height,53.9351462406472,53.93514641177423,1.7112702721533424e-07,3.1728295766883004e-09,53.934867113382666,53.93543808505302,0.00014449437737428726,4096,report,False
face_height_sellion_menton,120.01666550941998,120.01666616465835,6.552383666758033e-07,5.459561502517951e-09,120.01638286109481,120.01694909169646,0.00014530027262632333,4096,report,False
philtrum_length,16.15549442140351,16.155493643419092,-7.779844182209672e-07,-4.815602654600649e-08,16.1552201241981,16.155770157535024,0.0001400898836832141,4096,caveat,False
upper_face_height,86.37129152675674,86.37129258401933,1.057262593917585e-06,1.2240902911473292e-08,86.37102239455037,86.37155880559733,0.0001395294096750167,4096,caveat,False
middle_third_height,71.02816342831905,71.0281624211687,-1.0071503453445985e-06,-1.4179591541332828e-08,71.02788061305314,71.02843638182503,0.00014000639389714903,4096,caveat,False
lower_third_height,68.06614430096654,68.06614034819714,-3.952769404236278e-06,-5.807247413278482e-08,68.06585931744394,68.06642118464538,0.0001411392473960584,4096,caveat,False
palpebral_fissure_width_l,30.78046844855532,30.780471028970528,2.580415205954978e-06,8.383287636663922e-08,30.780199579644762,30.780747205455267,0.00014058620143788777,4096,caveat,False
palpebral_fissure_height_l,10.600000000000001,10.599999336904858,-6.630951432384791e-07,-6.255614558853575e-08,10.599715048950955,10.600276424613272,0.00014208004035574476,4096,caveat,False
canthal_tilt_l,4.999999999999999,5.000003877087333,3.8770873338478395e-06,7.75417466769568e-07,4.9994046718698035,5.000606329460247,0.0003069719736346526,4096,report,False
eye_aspect_ratio_l,0.3443742260685935,0.34437418847269435,-3.759589917162742e-08,-1.0917164040069292e-07,0.3443646294993767,0.34438387523160685,4.884488116365816e-06,4096,caveat,False
