condition,id,axis,angle_deg,value,deviation
3d,interpupillary_distance,yaw,-30.0,63.36,0.0
3d,interpupillary_distance,yaw,-27.5,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,yaw,-25.0,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,yaw,-22.5,63.36,0.0
3d,interpupillary_distance,yaw,-20.0,63.36,0.0
3d,interpupillary_distance,yaw,-17.5,63.36,0.0
3d,interpupillary_distance,yaw,-15.0,63.36,0.0
3d,interpupillary_distance,yaw,-12.5,63.36,0.0
3d,interpupillary_distance,yaw,-10.0,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,yaw,-7.5,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,yaw,-5.0,63.36,0.0
3d,interpupillary_distance,yaw,-2.5,63.36000000000001,1.1214373986112693e-16
3d,interpupillary_distance,yaw,0.0,63.36,0.0
3d,interpupillary_distance,yaw,2.5,63.36000000000001,1.1214373986112693e-16
3d,interpupillary_distance,yaw,5.0,63.36,0.0
3d,interpupillary_distance,yaw,7.5,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,yaw,10.0,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,yaw,12.5,63.36,0.0
3d,interpupillary_distance,yaw,15.0,63.36,0.0
3d,interpupillary_distance,yaw,17.5,63.36,0.0
3d,interpupillary_distance,yaw,20.0,63.36,0.0
3d,interpupillary_distance,yaw,22.5,63.36,0.0
3d,interpupillary_distance,yaw,25.0,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,yaw,27.5,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,yaw,30.0,63.36,0.0
3d,interpupillary_distance,pitch,-30.0,63.36,0.0
3d,interpupillary_distance,pitch,-27.5,63.36,0.0
3d,interpupillary_distance,pitch,-25.0,63.36,0.0
3d,interpupillary_distance,pitch,-22.5,63.36,0.0
3d,interpupillary_distance,pitch,-20.0,63.36,0.0
3d,interpupillary_distance,pitch,-17.5,63.36,0.0
3d,interpupillary_distance,pitch,-15.0,63.36,0.0
3d,interpupillary_distance,pitch,-12.5,63.36,0.0
3d,interpupillary_distance,pitch,-10.0,63.36,0.0
3d,interpupillary_distance,pitch,-7.5,63.36,0.0
3d,interpupillary_distance,pitch,-5.0,63.36,0.0
3d,interpupillary_distance,pitch,-2.5,63.36,0.0
3d,interpupillary_distance,pitch,0.0,63.36,0.0
3d,interpupillary_distance,pitch,2.5,63.36,0.0
3d,interpupillary_distance,pitch,5.0,63.36,0.0
3d,interpupillary_distance,pitch,7.5,63.36,0.0
3d,interpupillary_distance,pitch,10.0,63.36,0.0
3d,interpupillary_distance,pitch,12.5,63.36,0.0
3d,interpupillary_distance,pitch,15.0,63.36,0.0
3d,interpupillary_distance,pitch,17.5,63.36,0.0
3d,interpupillary_distance,pitch,20.0,63.36,0.0
3d,interpupillary_distance,pitch,22.5,63.36,0.0
3d,interpupillary_distance,pitch,25.0,63.36,0.0
3d,interpupillary_distance,pitch,27.5,63.36,0.0
3d,interpupillary_distance,pitch,30.0,63.36,0.0
3d,interpupillary_distance,roll,-30.0,63.36,0.0
3d,interpupillary_distance,roll,-27.5,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,roll,-25.0,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,roll,-22.5,63.36,0.0
3d,interpupillary_distance,roll,-20.0,63.36,0.0
3d,interpupillary_distance,roll,-17.5,63.36,0.0
3d,interpupillary_distance,roll,-15.0,63.36,0.0
3d,interpupillary_distance,roll,-12.5,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,roll,-10.0,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,roll,-7.5,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,roll,-5.0,63.36,0.0
3d,interpupillary_distance,roll,-2.5,63.360000000000014,2.2428747972225386e-16
3d,interpupillary_distance,roll,0.0,63.36,0.0
3d,interpupillary_distance,roll,2.5,63.360000000000014,2.2428747972225386e-16
3d,interpupillary_distance,roll,5.0,63.36,0.0
3d,interpupillary_distance,roll,7.5,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,roll,10.0,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,roll,12.5,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,roll,15.0,63.36,0.0
3d,interpupillary_distance,roll,17.5,63.36,0.0
3d,interpupillary_distance,roll,20.0,63.36,0.0
3d,interpupillary_distance,roll,22.5,63.36,0.0
3d,interpupillary_distance,roll,25.0,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,roll,27.5,63.35999999999999,-1.1214373986112693e-16
3d,interpupillary_distance,roll,30.0,63.36,0.0
3d,intercanthal_width,yaw,-30.0,32.0,0.0
3d,intercanthal_width,yaw,-27.5,32.0,0.0
3d,intercanthal_width,yaw,-25.0,32.0,0.0
3d,intercanthal_width,yaw,-22.5,32.0,0.0
3d,intercanthal_width,yaw,-20.0,32.0,0.0
3d,intercanthal_width,yaw,-17.5,32.0,0.0
3d,intercanthal_width,yaw,-15.0,32.0,0.0
3d,intercanthal_width,yaw,-12.5,32.0,0.0
3d,intercanthal_width,yaw,-10.0,31.999999999999993,-2.220446049250313e-16
3d,intercanthal_width,yaw,-7.5,32.0,0.0
3d,intercanthal_width,yaw,-5.0,32.0,0.0
3d,intercanthal_width,yaw,-2.5,31.999999999999996,-1.1102230246251565e-16
3d,intercanthal_width,yaw,0.0,32.0,0.0
3d,intercanthal_width,yaw,2.5,31.999999999999996,-1.1102230246251565e-16
3d,intercanthal_width,yaw,5.0,32.0,0.0
3d,intercanthal_width,yaw,7.5,32.0,0.0
3d,intercanthal_width,yaw,10.0,31.999999999999993,-2.220446049250313e-16
3d,intercanthal_width,yaw,12.5,32.0,0.0
3d,intercanthal_width,yaw,15.0,32.0,0.0
3d,intercanthal_width,yaw,17.5,32.0,0.0
3d,intercanthal_width,yaw,20.0,32.0,0.0
3d,intercanthal_width,yaw,22.5,32.0,0.0
3d,intercanthal_width,yaw,25.0,32.0,0.0
3d,intercanthal_width,yaw,27.5,32.0,0.0
3d,intercanthal_width,yaw,30.0,32.0,0.0
3d,intercanthal_width,pitch,-30.0,32.0,0.0
3d,intercanthal_width,pitch,-27.5,32.0,0.0
3d,intercanthal_width,pitch,-25.0,32.0,0.0
3d,intercanthal_width,pitch,-22.5,32.0,0.0
3d,intercanthal_width,pitch,-20.0,32.0,0.0
3d,intercanthal_width,pitch,-17.5,32.0,0.0
3d,intercanthal_width,pitch,-15.0,32.0,0.0
3d,intercanthal_width,pitch,-12.5,32.0,0.0
3d,intercanthal_width,pitch,-10.0,32.0,0.0
3d,intercanthal_width,pitch,-7.5,32.0,0.0
3d,intercanthal_width,pitch,-5.0,32.0,0.0
3d,intercanthal_width,pitch,-2.5,32.0,0.0
3d,intercanthal_width,pitch,0.0,32.0,0.0
3d,intercanthal_width,pitch,2.5,32.0,0.0
3d,intercanthal_width,pitch,5.0,32.0,0.0
3d,intercanthal_width,pitch,7.5,32.0,0.0
3d,intercanthal_width,pitch,10.0,32.0,0.0
3d,intercanthal_width,pitch,12.5,32.0,0.0
3d,intercanthal_width,pitch,15.0,32.0,0.0
3d,intercanthal_width,pitch,17.5,32.0,0.0
3d,intercanthal_width,pitch,20.0,32.0,0.0
3d,intercanthal_width,pitch,22.5,32.0,0.0
3d,intercanthal_width,pitch,25.0,32.0,0.0
3d,intercanthal_width,pitch,27.5,32.0,0.0
3d,intercanthal_width,pitch,30.0,32.0,0.0
3d,intercanthal_width,roll,-30.0,32.0,0.0
3d,intercanthal_width,roll,-27.5,32.0,0.0
3d,intercanthal_width,roll,-25.0,31.999999999999996,-1.1102230246251565e-16
3d,intercanthal_width,roll,-22.5,32.0,0.0
3d,intercanthal_width,roll,-20.0,32.0,0.0
3d,intercanthal_width,roll,-17.5,32.0,0.0
3d,intercanthal_width,roll,-15.0,32.0,0.0
3d,intercanthal_width,roll,-12.5,32.0,0.0
3d,intercanthal_width,roll,-10.0,31.999999999999996,-1.1102230246251565e-16
