condition,id,unit,view,axis,value_at_zero,measured_secant_5deg,measured_secant_10deg,measured_secant_10deg_absolute,measured_secant_20deg,measured_secant_30deg,lsq_slope_through_origin,max_abs_deviation_30deg,apriori_sensitivity,apriori_source,measured_over_apriori,deviation_at_plus10,deviation_at_minus10,asymmetric_in_sign
3d,interpupillary_distance,mm,frontal,yaw,63.36,0.0,1.1214373986112694e-17,7.105427357601002e-16,0.0,0.0,2.0013344344447266e-18,1.1214373986112693e-16,0.001519224698779198,"cos(yaw), first order",7.381642751809011e-15,-1.1214373986112693e-16,-1.1214373986112693e-16,False
3d,interpupillary_distance,mm,frontal,pitch,63.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(yaw), first order",,0.0,0.0,False
3d,interpupillary_distance,mm,frontal,roll,63.36,0.0,1.1214373986112694e-17,7.105427357601002e-16,0.0,0.0,2.4154036277781187e-18,2.2428747972225386e-16,0.0,"cos(yaw), first order",,-1.1214373986112693e-16,-1.1214373986112693e-16,False
3d,intercanthal_width,mm,frontal,yaw,32.0,0.0,2.2204460492503132e-17,7.105427357601002e-16,0.0,0.0,6.148927521000867e-19,2.220446049250313e-16,0.001519224698779198,"cos(yaw), first order",1.461565264858184e-14,-2.220446049250313e-16,-2.220446049250313e-16,False
3d,intercanthal_width,mm,frontal,pitch,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(yaw), first order",,0.0,0.0,False
3d,intercanthal_width,mm,frontal,roll,32.0,0.0,1.1102230246251566e-17,3.552713678800501e-16,0.0,0.0,9.564998366001348e-19,1.1102230246251565e-16,0.0,"cos(yaw), first order",,-1.1102230246251565e-16,-1.1102230246251565e-16,False
3d,biocular_width,mm,frontal,yaw,90.00144981797378,0.0,1.5789584216635607e-17,1.4210854715202005e-15,0.0,5.2631947388785354e-18,4.761166933016275e-18,1.5789584216635606e-16,0.001519224698779198,"cos(yaw), first order",1.0393185569799932e-14,-1.5789584216635606e-16,-1.5789584216635606e-16,False
3d,biocular_width,mm,frontal,pitch,90.00144981797378,0.0,0.0,0.0,0.0,5.2631947388785354e-18,2.429166802559324e-18,1.5789584216635606e-16,0.0,"cos(yaw), first order",,0.0,0.0,False
3d,biocular_width,mm,frontal,roll,90.00144981797378,3.1579168433271214e-17,1.5789584216635607e-17,1.4210854715202005e-15,3.947396054158902e-18,5.2631947388785354e-18,5.6842503179888175e-18,3.157916843327121e-16,0.0,"cos(yaw), first order",,0.0,-3.157916843327121e-16,False
3d,nose_breadth,mm,frontal,yaw,34.0,0.0,0.0,0.0,0.0,0.0,9.002351403295386e-19,2.0898315757650005e-16,0.001519224698779198,"cos(yaw), first order",0.0,0.0,0.0,False
3d,nose_breadth,mm,frontal,pitch,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(yaw), first order",,0.0,0.0,False
3d,nose_breadth,mm,frontal,roll,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(yaw), first order",,0.0,0.0,False
3d,mouth_width,mm,frontal,yaw,52.00615348206402,0.0,0.0,0.0,6.831333296021917e-18,0.0,2.5223384477619388e-18,1.3662666592043834e-16,0.001519224698779198,"cos(yaw), first order",0.0,0.0,0.0,False
3d,mouth_width,mm,frontal,pitch,52.00615348206402,2.7325333184087667e-17,0.0,0.0,0.0,0.0,2.774572292538133e-18,1.3662666592043834e-16,0.0,"cos(yaw), first order",,0.0,0.0,False
3d,mouth_width,mm,frontal,roll,52.00615348206402,2.7325333184087667e-17,1.3662666592043833e-17,7.105427357601002e-16,3.4156666480109584e-18,2.2771110986739722e-18,5.212832792041339e-18,1.3662666592043834e-16,0.0,"cos(yaw), first order",,-1.3662666592043834e-16,1.3662666592043834e-16,False
3d,philtrum_width,mm,frontal,yaw,11.0,0.0,0.0,0.0,0.0,5.382899513334092e-18,4.9688303200007006e-18,1.6148698540002277e-16,0.001519224698779198,"cos(yaw), first order",0.0,0.0,0.0,False
3d,philtrum_width,mm,frontal,pitch,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(yaw), first order",,0.0,0.0,False
3d,philtrum_width,mm,frontal,roll,11.0,3.229739708000455e-17,1.6148698540002276e-17,1.7763568394002506e-16,8.074349270001138e-18,5.382899513334092e-18,8.248258331201163e-18,3.2297397080004555e-16,0.0,"cos(yaw), first order",,-1.6148698540002277e-16,-1.6148698540002277e-16,False
3d,bizygomatic_width,mm,frontal,yaw,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,"Kleinberg & Vanezis 2007, AB/BB' index at 10 deg",0.0,0.0,0.0,False
3d,bizygomatic_width,mm,frontal,pitch,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,"Kleinberg & Vanezis 2007, AB/BB' index at 10 deg",0.0,0.0,0.0,False
3d,bizygomatic_width,mm,frontal,roll,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,"Kleinberg & Vanezis 2007, AB/BB' index at 10 deg",0.0,0.0,0.0,False
3d,bigonial_width,mm,frontal,yaw,117.0,0.0,1.2146029671112825e-17,1.4210854715202005e-15,6.0730148355564126e-18,0.0,3.0645367170192358e-18,1.2146029671112825e-16,0.019,"Kleinberg & Vanezis 2007, AB/BB' index at 10 deg",6.39264719532254e-16,-1.2146029671112825e-16,-1.2146029671112825e-16,False
3d,bigonial_width,mm,frontal,pitch,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,"Kleinberg & Vanezis 2007, AB/BB' index at 10 deg",0.0,0.0,0.0,False
3d,bigonial_width,mm,frontal,roll,117.0,0.0,1.2146029671112825e-17,1.4210854715202005e-15,6.0730148355564126e-18,0.0,1.719130353449815e-18,1.2146029671112825e-16,0.005,"Kleinberg & Vanezis 2007, AB/BB' index at 10 deg",2.429205934222565e-15,-1.2146029671112825e-16,-1.2146029671112825e-16,False
3d,nose_height,mm,frontal,yaw,53.9351462406472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,nose_height,mm,frontal,pitch,53.9351462406472,0.0,0.0,0.0,0.0,2.19567012509743e-18,2.310520562410219e-18,2.6348041501169163e-16,0.001519224698779198,"cos(pitch), first order",0.0,0.0,0.0,False
3d,nose_height,mm,frontal,roll,53.9351462406472,2.6348041501169162e-17,0.0,0.0,1.3174020750584581e-17,0.0,2.1889142170202076e-18,2.6348041501169163e-16,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,face_height_sellion_menton,mm,frontal,yaw,120.01666550941998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,face_height_sellion_menton,mm,frontal,pitch,120.01666550941998,1.1840734497065833e-17,0.0,0.0,0.0,1.9734557495109725e-18,2.768910220852318e-18,1.1840734497065834e-16,0.001519224698779198,"cos(pitch), first order",0.0,0.0,0.0,False
