id,stratum,recomputed_n,recomputed_mean,recomputed_sd,vendored_n,vendored_mean,vendored_sd,matches,rsd
interpupillary_distance,both|pooled,3996,64.3704,3.9731,3996,64.3704,3.9731,True,0.0617224687123274
interpupillary_distance,female|Black,589,65.5136,3.7721,589,65.5136,3.7721,True,0.05757735798368583
interpupillary_distance,female|Hispanic,126,62.1698,3.1386,126,62.1698,3.1386,True,0.050484318752834975
interpupillary_distance,female|Other,220,61.9886,3.3997,220,61.9886,3.3997,True,0.05484395517885547
interpupillary_distance,female|White,518,61.1651,3.1408,518,61.1651,3.1408,True,0.05134954410276448
interpupillary_distance,female|pooled,1453,63.1396,3.9781,1453,63.1396,3.9781,True,0.06300483373350481
interpupillary_distance,male|Black,634,67.7033,3.6351,634,67.7033,3.6351,True,0.05369162212181681
interpupillary_distance,male|Hispanic,412,64.6626,3.3157,412,64.6626,3.3157,True,0.051276935972262176
interpupillary_distance,male|Other,130,64.8923,3.8534,130,64.8923,3.8534,True,0.05938146744683113
interpupillary_distance,male|White,1367,63.995,3.3989,1367,63.995,3.3989,True,0.05311196187202125
interpupillary_distance,male|pooled,2543,65.0736,3.7959,2543,65.0736,3.7959,True,0.0583324113004352
bizygomatic_width,both|pooled,3995,141.1124,7.6785,3995,141.1124,7.6785,True,0.05441406991873145
bizygomatic_width,female|Black,588,137.5425,6.2402,588,137.5425,6.2402,True,0.04536924950469855
bizygomatic_width,female|Hispanic,126,137.6825,6.468,126,137.6825,6.468,True,0.04697764784921831
bizygomatic_width,female|Other,220,137.8273,6.4289,220,137.8273,6.4289,True,0.04664460524148699
bizygomatic_width,female|White,519,133.7534,6.1717,519,133.7534,6.1717,True,0.04614237843673507
bizygomatic_width,female|pooled,1453,136.2443,6.5288,1453,136.2443,6.5288,True,0.04791980288349678
bizygomatic_width,male|Black,634,144.6341,6.7671,634,144.6341,6.7671,True,0.04678772156773541
bizygomatic_width,male|Hispanic,412,145.733,6.8843,412,145.733,6.8843,True,0.04723912909224403
bizygomatic_width,male|Other,130,144.6923,7.144,130,144.6923,7.144,True,0.049373739998603935
bizygomatic_width,male|White,1366,142.9217,6.702,1366,142.9217,6.702,True,0.046892809139549844
bizygomatic_width,male|pooled,2542,143.895,6.857,2542,143.895,6.857,True,0.047652802390632056
bigonial_width,both|pooled,3997,117.4076,11.0956,3997,117.4076,11.0956,True,0.09450495538619305
bigonial_width,female|Black,589,113.7572,9.3498,589,113.7572,9.3498,True,0.08219084154673287
bigonial_width,female|Hispanic,126,113.6349,10.697,126,113.6349,10.697,True,0.09413481245638443
bigonial_width,female|Other,220,112.3591,8.4601,220,112.3591,8.4601,True,0.07529519193371965
bigonial_width,female|White,519,108.4605,8.2299,519,108.4605,8.2299,True,0.07587923714163222
bigonial_width,female|pooled,1454,111.6444,9.274,1454,111.6444,9.274,True,0.0830673101382604
bigonial_width,male|Black,634,120.7634,11.3546,634,120.7634,11.3546,True,0.0940235203712383
bigonial_width,male|Hispanic,412,123.5388,11.6751,412,123.5388,11.6751,True,0.09450553186529254
bigonial_width,male|Other,130,119.9846,9.7504,130,119.9846,9.7504,True,0.08126376218281346
bigonial_width,male|White,1367,119.8881,10.0108,1367,119.8881,10.0108,True,0.08350119820065545
bigonial_width,male|pooled,2543,120.7027,10.7009,2543,120.7027,10.7009,True,0.08865501765909131
nose_breadth,both|pooled,3997,37.0873,4.9409,3997,37.0873,4.9409,True,0.13322350238491343
nose_breadth,female|Black,589,40.1002,3.482,589,40.1002,3.482,True,0.08683248462601184
nose_breadth,female|Hispanic,126,34.7619,3.2507,126,34.7619,3.2507,True,0.09351330048127406
nose_breadth,female|Other,220,34.9864,3.5326,220,34.9864,3.5326,True,0.10097066288615003
nose_breadth,female|White,519,31.5588,2.6023,519,31.5588,2.6023,True,0.08245877536534976
nose_breadth,female|pooled,1454,35.815,4.9219,1454,35.815,4.9219,True,0.13742565963981573
nose_breadth,male|Black,634,43.4069,3.8656,634,43.4069,3.8656,True,0.08905496591555721
nose_breadth,male|Hispanic,412,37.3908,3.3477,412,37.3908,3.3477,True,0.08953271927853912
nose_breadth,male|Other,130,38.2769,4.1447,130,38.2769,4.1447,True,0.10828201865877332
nose_breadth,male|White,1367,35.305,3.1821,1367,35.305,3.1821,True,0.09013170938960488
nose_breadth,male|pooled,2543,37.8148,4.8034,2543,37.8148,4.8034,True,0.12702433967652876
mouth_width,both|pooled,3997,50.7438,4.5038,3997,50.7438,4.5038,True,0.08875567064350719
mouth_width,female|Black,589,51.8981,3.8817,589,51.8981,3.8817,True,0.07479464566140186
mouth_width,female|Hispanic,126,49.0794,3.8979,126,49.0794,3.8979,True,0.0794202863115686
mouth_width,female|Other,220,46.7909,4.1996,220,46.7909,4.1996,True,0.08975249460899448
mouth_width,female|White,519,47.0617,3.5287,519,47.0617,3.5287,True,0.07498029182966191
mouth_width,female|pooled,1454,49.1547,4.4681,1454,49.1547,4.4681,True,0.09089873399695247
mouth_width,male|Black,634,54.3533,3.9083,634,54.3533,3.9083,True,0.07190547768028804
mouth_width,male|Hispanic,412,51.1214,3.8195,412,51.1214,3.8195,True,0.07471430751114015
