landmark,n,median_err_over_ipd,mean_err_over_ipd,p90_err_over_ipd,median_err_mm_at_63mm_ipd,index_map_suspect
alare_l,102,0.04297140496612258,0.04577753083592066,0.06896884785574169,2.722668218653527,False
alare_r,102,0.04516514340039978,0.04468317604201505,0.06670887756290281,2.86166348584933,False
cheilion_l,102,0.055300553716892936,0.05372593200071338,0.08718084132007041,3.5038430835023364,False
cheilion_r,102,0.06192981120685678,0.0601118605083186,0.09710617598193863,3.923872838066446,False
columella,102,0.02038807646731995,0.02099564205376239,0.03875041030076224,1.2917885249693921,False
crista_philtri_l,102,0.04354146790699684,0.0455873471085291,0.0708126754082156,2.7587874065873197,False
crista_philtri_r,102,0.04384856878641362,0.043877230974645375,0.071685183283067,2.778245318307167,False
endocanthion_l,102,0.028720118495128726,0.03107268134855112,0.05305104205648351,1.819706707851356,False
endocanthion_r,102,0.03296930208562734,0.03448994021516291,0.05573592183173801,2.088934980145348,False
exocanthion_l,102,0.04322264459739879,0.04680534433525749,0.08681069076754297,2.738586761691187,False
exocanthion_r,102,0.05031252134625372,0.051000724824385876,0.08447826686922122,3.1878013524986355,False
glabella,102,0.09835616279509807,0.09694446678504576,0.1467473977780779,6.231846474697414,False
gnathion,102,0.11272491644022747,0.11229335012777004,0.17233443833543627,7.142250705652812,True
gonion_l,102,0.1279913191872778,0.13754121272213435,0.2220084552818001,8.10952998370592,True
gonion_r,102,0.14253492694940803,0.1463978066475335,0.22615897420550304,9.031012971514492,True
labiale_inferius,102,0.06199966691172877,0.060350055501169536,0.09499370406824223,3.928298895527135,False
labiale_superius,102,0.043136147086774414,0.04401661230962763,0.07024248063131211,2.7331062794180268,False
menton,102,0.11272491644022747,0.11229335012777004,0.17233443833543627,7.142250705652812,True
nasion,102,0.05740312647013132,0.05904313571874536,0.10067514833152798,3.6370620931475206,False
palpebrale_inferius_l,102,0.028504061925120595,0.03305741780754522,0.055420011522088815,1.806017363575641,False
palpebrale_inferius_r,102,0.0307866178094638,0.03403386059996064,0.05956983900071407,1.9506401044076265,False
palpebrale_superius_l,102,0.030609251792912975,0.0353887255547124,0.06455916033831517,1.939402193598966,False
palpebrale_superius_r,102,0.0315687885681405,0.03527308107513601,0.06247905955125415,2.000198443677382,False
pronasale,102,0.027933739159040454,0.027117494837493802,0.04505094204773447,1.7698817131168032,False
pupil_l,102,0.031603498552586956,0.034972025395939424,0.06075522558870672,2.0023976682919096,False
pupil_r,102,0.03944590075444274,0.040622758123172134,0.06774381323885938,2.499292271801492,False
sellion,102,0.03729909105151212,0.041081789028824374,0.07791732939100982,2.363270409023808,False
stomion,102,0.04651644289080305,0.04551856453983895,0.072331897076559,2.947281821561281,False
subalare_l,102,0.10209414312359569,0.1030320280265145,0.13288842984085789,6.4686849083110225,True
subalare_r,102,0.10226942962624977,0.1027393388342047,0.12687300797102927,6.479791061119185,True
subnasale,102,0.01714440832118449,0.0197506360488037,0.035555640465011105,1.0862697112302493,False
superciliare_l,102,0.17229898426120427,0.17135036729161815,0.22527761569535773,10.916863642789902,True
superciliare_r,102,0.16069826512472413,0.1639040697290234,0.20790972038721414,10.181842078302521,True
tragion_l,102,0.10571574846093118,0.11220513058282268,0.17356130738759862,6.6981498224845994,True
tragion_r,102,0.10512822411529543,0.11878792963409683,0.19766364042755194,6.660924279945118,True
trichion,102,0.4512234809034355,0.446749464606516,0.5654721131303219,28.589519750041674,True
zygion_l,102,0.09662699269934812,0.10684735613287265,0.18747507579959388,6.122286257430696,False
zygion_r,102,0.10539914422362823,0.1108728202495816,0.18307348961792694,6.678089778009085,True
